Financial statement,Nov 2024,Nov 2024 change,Oct 2024,Oct 2024 change,Sep 2024,Sep 2024 change,Aug 2024,Aug 2024 change,Jul 2024,Jul 2024 change,Jun 2024,Jun 2024 change,May 2024,May 2024 change,Apr 2024,Apr 2024 change,Mar 2024,Mar 2024 change,Feb 2024,Feb 2024 change,Jan 2024,Jan 2024 change,Dec 2023,Dec 2023 change,Nov 2023,Nov 2023 change,Oct 2023,Oct 2023 change,Sep 2023,Sep 2023 change,Aug 2023,Aug 2023 change,Jul 2023,Jul 2023 change,Jun 2023,Jun 2023 change,May 2023,May 2023 change,Apr 2023,Apr 2023 change,Mar 2023,Mar 2023 change,Feb 2023,Feb 2023 change,Jan 2023,Jan 2023 change,Dec 2022,Dec 2022 change,Nov 2022,Nov 2022 change,Oct 2022,Oct 2022 change,Sep 2022,Sep 2022 change,Aug 2022,Aug 2022 change,Jul 2022,Jul 2022 change,Jun 2022,Jun 2022 change,May 2022,May 2022 change,Apr 2022,Apr 2022 change,Mar 2022,Mar 2022 change,Feb 2022,Feb 2022 change,Jan 2022,Jan 2022 change
Fees,87191.37,-0.873,685709.24,0.192,575447.80,-0.726,2099768.21,1.097,1001271.58,-0.769,4330553.63,3.830,896567.05,-0.582,2146861.86,-0.795,10460147.11,0.103,9479717.82,0.274,7439365.47,-0.351,11465770.44,0.923,5961822.71,1.499,2385974.85,0.235,1932290.49,-0.442,3464599.40,-0.203,4349421.65,-0.008,4383365.84,-0.559,9945429.80,0.107,8986275.20,0.454,6180062.89,1.124,2909095.71,1.536,1147095.77,0.523,753304.25,-0.226,972984.38,0.353,719136.06,0.554,462670.15,-0.384,750655.85,0.031,728211.15,-0.743,2833559.60,0.023,2770271.38,0.137,2436565.71,0.265,1926138.86,-0.387,3143407.57,-0.265,4279017.32,0.302
Supply-side fees,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Token trading volume,1430015879.62,-0.857,9967167856.90,0.570,6347145766.35,-0.176,7703794238.31,0.006,7660165395.28,0.146,6687138691.20,-0.421,11546209409.47,0.076,10727519032.24,-0.535,23074182288.19,1.144,10761506644.48,-0.611,27690838028.69,0.747,15850996105.89,0.576,10059193366.84,1.157,4664055833.90,0.410,3306698385.63,-0.222,4250884377.22,-0.269,5817874988.36,-0.144,6796590134.74,-0.139,7896031891.42,-0.619,20721012110.34,0.775,11675866281.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token turnover (fully diluted),0.0574,-0.018,0.0584,0.541,0.0379,-0.160,0.0452,0.325,0.0341,0.397,0.0244,-0.282,0.0340,0.174,0.0289,-0.273,0.0398,1.050,0.0194,-0.583,0.0466,0.147,0.0406,0.305,0.0311,0.820,0.0171,0.308,0.0131,0.009,0.0130,-0.173,0.0157,-0.245,0.0208,-0.023,0.0212,-0.565,0.0489,-0.513,0.1003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token turnover (circulating),0.1443,-0.080,0.1568,0.471,0.1066,-0.201,0.1334,0.284,0.1038,0.280,0.0812,-0.363,0.1275,0.170,0.1090,-0.533,0.2332,0.531,0.1523,-0.584,0.3657,0.148,0.3185,0.303,0.2443,0.819,0.1343,0.310,0.1026,0.009,0.1017,-0.173,0.1230,-0.245,0.1628,-0.022,0.1665,-0.565,0.3832,-0.513,0.7868,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokenholders,1368264,0.003,1363914.64516129,0.012,1348253.666666667,0.026,1314521.483870968,0.035,1270526.419354839,0.048,1212229.8,0.042,1162936.516129032,0.048,1109867.8,0.139,974740.193548387,0.075,906427.206896552,0.063,852819.225806452,0.065,800617.838709677,0.048,763593.9,0.087,702439.290322581,0.063,660709.4,0.037,636957.580645161,0.035,615269.612903226,0.040,591391.866666667,0.108,533844.419354839,0.541,346533.866666667,1.302,150543.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/F ratio (fully diluted),685.95,-0.084,749.03,0.086,689.58,1.710,254.45,-0.187,312.93,-0.476,597.67,-0.332,894.49,1.622,341.21,1.923,116.72,-0.485,226.42,0.316,172.09,0.481,116.22,-0.490,227.94,-0.347,349.00,0.234,282.90,0.190,237.73,0.055,225.37,0.424,158.24,0.703,92.94,-0.359,144.92,-0.220,185.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/F ratio (circulating),272.70,-0.023,279.02,0.137,245.40,1.847,86.18,-0.169,103.73,-0.407,174.99,-0.268,239.12,1.640,90.57,3.129,21.93,-0.240,28.87,0.316,21.94,0.480,14.82,-0.490,29.05,-0.347,44.45,0.233,36.06,0.190,30.30,0.055,28.73,0.424,20.17,0.701,11.86,-0.358,18.48,-0.220,23.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/S ratio (fully diluted),685.95,-0.084,749.03,0.086,689.58,1.710,254.45,-0.187,312.93,-0.476,597.67,-0.332,894.49,1.622,341.21,1.923,116.72,-0.485,226.42,0.316,172.09,0.481,116.22,-0.490,227.94,-0.347,349.00,0.234,282.90,0.190,237.73,0.055,225.37,0.424,158.24,0.703,92.94,-0.359,144.92,-0.220,185.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/S ratio (circulating),272.70,-0.023,279.02,0.137,245.40,1.847,86.18,-0.169,103.73,-0.407,174.99,-0.268,239.12,1.640,90.57,3.129,21.93,-0.240,28.87,0.316,21.94,0.480,14.82,-0.490,29.05,-0.347,44.45,0.233,36.06,0.190,30.30,0.055,28.73,0.424,20.17,0.701,11.86,-0.358,18.48,-0.220,23.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active users (daily),474597.60,0.013,468532.52,0.086,431408.70,0.116,386506.52,-0.294,547455.81,-0.262,741583.37,0.033,717999.10,1.329,308325.07,0.441,213925.19,0.320,162077.17,-0.006,162987.87,0.072,151976.39,-0.104,169559.73,0.393,121682.45,-0.048,127839.87,-0.108,143366.97,-0.086,156784.00,-0.089,172120.00,-0.194,213646.55,-0.058,226798.10,0.400,162051.06,0.840,88072.93,0.833,48047.23,-0.151,56623.19,-0.067,60680.30,0.442,42088.35,0.320,31890.77,0.446,22049.39,0.098,20084.55,-0.207,25321.40,0.507,16802.03,0.148,14634.33,0.156,12656.58,0.016,12462.82,0.830,6811.61,0.302
Active users (weekly),1482506.20,0.140,1300529.81,0.125,1156063.33,-0.039,1202895.84,-0.385,1955982.55,-0.320,2877096.83,0.135,2535874.26,0.732,1463873.40,0.434,1020998.19,0.342,760855.38,-0.040,792362.32,0.007,786469.06,-0.089,863300.23,0.391,620782.58,-0.091,682576.27,-0.074,736787.03,-0.088,808145.52,-0.077,875331.10,-0.112,985770.65,0.052,936635.33,0.317,711395.48,1.230,318967.89,0.520,209905.94,-0.166,251752.48,-0.024,257995.97,0.513,170524.68,0.179,144641.23,0.403,103058.45,-0.099,114407.58,0.113,102788.60,0.300,79043.26,0.309,60379.40,0.282,47105.10,0.286,36622.89,0.421,25778.65,0.023
Active users (monthly),3580435.80,0.128,3173770.58,0.066,2976140.40,-0.344,4539101.74,-0.386,7397987.48,-0.176,8978817.90,0.445,6212026.35,0.477,4205061.67,0.505,2793965.65,0.265,2209228.45,-0.143,2576903.52,-0.044,2695768.39,0.261,2138252.03,0.069,1999348.74,-0.083,2179403.53,-0.022,2227910.00,-0.063,2376873.71,-0.102,2646778.73,-0.004,2657441.84,0.096,2424349.47,0.747,1387623.42,1.102,660102.11,0.083,609284.94,-0.079,661684.90,0.051,629731.97,0.551,406114.23,0.092,371961.67,0.310,283862.48,-0.175,344123.94,0.413,243601.57,0.210,201292.68,0.296,155276.70,0.381,112403.29,0.390,80857.96,0.235,65461.42,-0.179
Core developers,27.6,-0.205,34.709677419,-0.052,36.6,-0.051,38.580645161,-0.109,43.290322581,0.126,38.433333333,0.020,37.677419355,0.056,35.666666667,-0.063,38.064516129,-0.009,38.413793103,0.052,36.516129032,-0.031,37.677419355,0.072,35.133333333,-0.136,40.64516129,0.156,35.166666667,0.228,28.64516129,-0.102,31.903225806,-0.043,33.333333333,-0.017,33.903225806,-0.019,34.566666667,0.041,33.193548387,0.193,27.821428571,0.077,25.838709677,-0.014,26.193548387,-0.030,27,-0.006,27.161290323,0.112,24.433333333,0.210,20.193548387,0.164,17.35483871,-0.018,17.666666667,0.113,15.870967742,-0.028,16.333333333,0.087,15.032258065,0.324,11.357142857,0.090,10.419354839,-0.120
Code commits,66,-0.850,439,-0.248,584,-0.102,650,-0.107,728,0.562,466,-0.227,603,-0.092,664,0.098,605,-0.370,960,0.521,631,0.317,479,0.235,388,-0.450,706,-0.248,939,-0.299,1339,0.797,745,-0.277,1031,0.085,950,0.057,899,-0.477,1719,0.178,1459,0.268,1151,-0.205,1447,0.356,1067,-0.274,1470,-0.337,2217,-0.335,3336,0.124,2969,0.090,2725,0.053,2589,0.146,2259,-0.190,2789,0.221,2284,-0.178,2778,0.463
