Financial statement,Nov 2024,Nov 2024 change,Oct 2024,Oct 2024 change,Sep 2024,Sep 2024 change,Aug 2024,Aug 2024 change,Jul 2024,Jul 2024 change,Jun 2024,Jun 2024 change,May 2024,May 2024 change,Apr 2024,Apr 2024 change,Mar 2024,Mar 2024 change,Feb 2024,Feb 2024 change,Jan 2024,Jan 2024 change,Dec 2023,Dec 2023 change,Nov 2023,Nov 2023 change,Oct 2023,Oct 2023 change,Sep 2023,Sep 2023 change,Aug 2023,Aug 2023 change,Jul 2023,Jul 2023 change,Jun 2023,Jun 2023 change,May 2023,May 2023 change,Apr 2023,Apr 2023 change,Mar 2023,Mar 2023 change,Feb 2023,Feb 2023 change,Jan 2023,Jan 2023 change,Dec 2022,Dec 2022 change,Nov 2022,Nov 2022 change,Oct 2022,Oct 2022 change,Sep 2022,Sep 2022 change,Aug 2022,Aug 2022 change,Jul 2022,Jul 2022 change,Jun 2022,Jun 2022 change,May 2022,May 2022 change,Apr 2022,Apr 2022 change,Mar 2022,Mar 2022 change,Feb 2022,Feb 2022 change,Jan 2022,Jan 2022 change
Token trading volume,1720880274.39,-0.764,7289922998.95,0.617,4509580707.91,-0.264,6124001434.28,-0.116,6926292199.56,0.101,6292630552.08,-0.312,9146407878.99,0.107,8264335015.98,-0.366,13025448159.56,1.002,6505651622.42,-0.363,10209238707.69,-0.128,11708062786.29,1.612,4481967535.25,0.898,2361982179.01,0.211,1951184453.12,-0.495,3863507326.02,0.094,3530878037.22,-0.125,4033186134.29,0.218,3310326343.18,-0.279,4591714366.94,-0.550,10192507667.67,-0.131,11724181935.04,0.563,7501686302.03,2.406,2202351435.50,-0.452,4017597527.85,0.356,2962818736.44,-0.393,4884501998.45,-0.370,7750908447.40,0.647,4705808445.38,-0.123,5366870601.55,57.651,91505722.35,,,,,,,
Token turnover (fully diluted),0.0548,0.660,0.0330,0.477,0.0223,-0.331,0.0334,0.082,0.0309,0.286,0.0240,-0.074,0.0259,0.046,0.0248,0.005,0.0247,0.692,0.0146,-0.338,0.0220,-0.328,0.0328,0.583,0.0207,0.529,0.0135,0.190,0.0114,-0.387,0.0186,-0.001,0.0186,-0.232,0.0242,0.691,0.0143,-0.048,0.0151,-0.522,0.0315,-0.114,0.0355,0.122,0.0317,0.933,0.0164,-0.462,0.0304,0.250,0.0244,-0.288,0.0342,-0.135,0.0395,0.062,0.0372,-0.258,0.0502,,,,,,,,,
Token turnover (circulating),0.1875,0.659,0.1130,0.407,0.0803,-0.335,0.1208,0.022,0.1182,0.259,0.0939,-0.101,0.1045,0.006,0.1039,-0.014,0.1054,0.610,0.0654,-0.349,0.1006,-0.350,0.1546,0.531,0.1010,0.513,0.0668,0.090,0.0613,-0.450,0.1113,-0.085,0.1217,-0.246,0.1614,-0.143,0.1882,-0.084,0.2054,-0.568,0.4749,-0.331,0.7103,0.121,0.6337,0.933,0.3278,-0.462,0.6093,0.251,0.4871,-0.288,0.6840,-0.135,0.7903,0.062,0.7442,-0.258,1.0029,,,,,,,,,
Tokenholders,1230807.2,0.007,1221691.870967741,0.006,1214024.033333333,0.007,1205743.35483871,0.009,1194498.709677419,0.007,1186730.2,0.014,1170477.096774194,0.024,1143534.7,0.030,1109997.064516129,0.023,1084904.965517242,0.023,1060762.870967742,0.031,1028421.806451613,0.021,1007569.833333333,0.006,1001255.258064516,0.080,926955.133333333,0.125,824107.548387097,0.089,756938.967741935,0.112,680983,0.086,627033.096774193,0.061,590923.766666667,0.094,540167.451612903,0.090,495603.928571429,0.178,420818.612903226,0.414,297696.967741935,0.444,206199.933333333,0.368,150752.935483871,0.303,115739,0.126,102748.193548387,0.121,91662.032258065,0.071,85623.166666667,72.976,1157.451612903,8.143,126.6,,,,,
P/F ratio (fully diluted),544.18,-0.142,633.94,0.043,607.73,0.865,325.81,0.079,302.01,0.047,288.40,-0.086,315.51,0.931,163.35,0.040,157.06,-0.520,326.96,0.133,288.61,0.341,215.25,-0.132,247.86,-0.179,302.02,0.707,176.93,0.171,151.03,-0.211,191.37,0.485,128.87,0.100,117.19,-0.563,267.95,-0.306,386.21,-0.253,516.99,0.799,287.41,0.066,269.60,0.072,251.49,-0.414,429.07,-0.365,676.17,-0.093,745.71,1.058,362.31,2.214,112.74,,,,,,,,,
P/F ratio (circulating),159.02,-0.141,185.20,0.094,169.23,0.879,90.08,0.142,78.88,0.070,73.69,-0.059,78.34,1.009,38.99,0.060,36.79,-0.495,72.90,0.147,63.57,0.393,45.63,-0.102,50.84,-0.172,61.38,0.866,32.89,0.305,25.21,-0.139,29.27,0.514,19.34,1.171,8.91,-0.547,19.64,-0.226,25.37,-0.019,25.87,0.801,14.36,0.065,13.48,0.073,12.56,-0.414,21.45,-0.366,33.81,-0.094,37.30,1.059,18.12,2.210,5.64,,,,,,,,,
P/S ratio (fully diluted),544.18,-0.142,633.94,0.043,607.73,0.865,325.81,0.079,302.01,0.047,288.40,-0.086,315.51,0.931,163.35,0.040,157.06,-0.520,326.96,0.133,288.61,0.341,215.25,-0.132,247.86,-0.179,302.02,0.707,176.93,0.171,151.03,-0.211,191.37,0.485,128.87,0.100,117.19,-0.563,267.95,-0.306,386.21,-0.253,516.99,0.799,287.41,0.066,269.60,0.072,251.49,-0.414,429.07,-0.365,676.17,-0.093,745.71,1.058,362.31,2.214,112.74,,,,,,,,,
P/S ratio (circulating),159.02,-0.141,185.20,0.094,169.23,0.879,90.08,0.142,78.88,0.070,73.69,-0.059,78.34,1.009,38.99,0.060,36.79,-0.495,72.90,0.147,63.57,0.393,45.63,-0.102,50.84,-0.172,61.38,0.866,32.89,0.305,25.21,-0.139,29.27,0.514,19.34,1.171,8.91,-0.547,19.64,-0.226,25.37,-0.019,25.87,0.801,14.36,0.065,13.48,0.073,12.56,-0.414,21.45,-0.366,33.81,-0.094,37.30,1.059,18.12,2.210,5.64,,,,,,,,,
Active users (daily),65795.00,-0.219,84294.19,0.227,68679.30,0.088,63103.87,-0.245,83606.97,-0.260,112994.40,-0.041,117886.58,-0.125,134697.87,0.242,108493.90,0.182,91763.34,0.376,66667.71,-0.054,70448.94,-0.195,87475.90,0.480,59092.68,-0.269,80812.37,-0.246,107213.87,0.069,100274.77,0.184,84683.43,0.300,65137.29,0.096,59449.47,0.355,43878.35,0.008,43539.25,-0.065,46584.71,-0.150,54835.94,0.483,36966.50,0.381,26772.52,0.412,18958.50,0.235,15347.61,0.203,12754.32,-0.386,20762.80,1.635,7879.74,0.675,4703.33,0.885,2494.58,0.248,1998.89,0.010,1978.42,-0.320
Active users (weekly),394625.80,-0.035,409035.13,0.158,353144.03,0.092,323345.13,-0.284,451838.94,-0.274,622726.90,-0.064,665238.65,-0.088,729406.00,0.249,583918.97,0.173,497608.90,0.381,360227.52,-0.005,362213.06,-0.236,474136.40,0.547,306442.45,-0.249,407777.17,-0.208,514677.42,0.020,504591.52,0.197,421491.33,0.227,343617.52,0.157,297103.73,0.341,221584.65,0.173,188851.79,-0.161,225080.42,0.027,219243.87,0.510,145240.37,0.413,102823.19,0.348,76294.67,-0.004,76565.26,0.326,57733.32,-0.454,105784.43,2.148,33605.45,0.606,20928.67,0.794,11668.58,0.184,9852.32,-0.061,10497.03,-0.310
Active users (monthly),1352496.60,0.092,1238517.74,0.093,1133490.47,-0.054,1198552.48,-0.313,1744853.97,-0.089,1914360.07,-0.161,2281252.45,0.032,2210507.73,0.273,1736176.23,0.230,1411524.59,0.199,1177725.84,-0.069,1265569.87,0.002,1263656.30,0.275,991171.10,-0.209,1252476.17,-0.129,1437912.00,0.066,1348558.19,0.183,1139819.67,0.290,883782.68,0.142,773985.53,0.328,582944.55,0.292,451202.11,-0.317,660489.45,0.454,454202.58,0.477,307495.77,0.270,242071.87,0.416,170996.13,-0.269,233829.65,0.126,207653.03,-0.189,256103.27,1.816,90961.90,0.970,46168.63,0.492,30948.42,0.137,27224.79,-0.310,39434.39,-0.136
Core developers,115,0.053,109.161290323,0.060,102.966666667,-0.125,117.709677419,0.170,100.612903226,-0.043,105.166666667,-0.103,117.225806452,0.247,94,0.156,81.322580645,0.014,80.172413793,0.092,73.419354839,0.114,65.935483871,-0.020,67.3,-0.043,70.290322581,-0.108,78.8,0.134,69.483870968,0.492,46.580645161,-0.168,56,0.289,43.451612903,0.043,41.666666667,-0.075,45.032258065,0.239,36.357142857,0.188,30.612903226,-0.064,32.709677419,-0.146,38.3,-0.011,38.709677419,0.016,38.1,0.333,28.580645161,-0.099,31.709677419,-0.076,34.3,-0.006,34.516129032,0.071,32.233333333,-0.033,33.322580645,-0.058,35.357142857,0.054,33.548387097,0.084
Code commits,308,-0.889,2777,-0.394,4584,-0.051,4832,-0.002,4842,-0.257,6518,-0.220,8358,0.009,8280,0.091,7586,3.462,1700,-0.004,1707,-0.101,1898,-0.061,2022,0.040,1945,-0.008,1960,0.350,1452,0.617,898,-0.400,1496,0.075,1392,-0.221,1788,0.017,1758,0.423,1235,-0.071,1329,0.081,1229,0.258,977,-0.077,1059,0.239,855,0.270,673,-0.227,871,-0.170,1049,1.190,479,-0.191,592,-0.483,1145,0.319,868,-0.236,1136,0.106
